Category,Message
ham,Hi how are you
ham,Good morning have a nice day
ham,Can we meet tomorrow
ham,Please call me when you are free
ham,I have reached home safely
ham,Happy Birthday have a wonderful day
ham,Don't forget the meeting
ham,See you in class tomorrow
ham,Dinner is ready
ham,Please send the notes
ham,Where are you now
ham,Thank you for your help
ham,I will call you later
ham,Let's go for lunch
ham,Your order has been delivered
ham,The train will arrive at 5 PM
ham,Please complete your homework
ham,Are you coming today
ham,I am waiting outside
ham,Have a safe journey
ham,Good luck for your exam
ham,The package has arrived
ham,Meeting starts at 10 AM
ham,Please bring your ID card
ham,Let's watch a movie tonight
ham,How was your day
ham,I have sent the documents
ham,See you soon
ham,Don't forget to lock the door
ham,Can you help me with this project
ham,Your appointment is confirmed
ham,Please check your email
ham,I will be late today
ham,Thank you for your support
ham,Let's study together
ham,Happy New Year
ham,Have a great weekend
ham,Call me after dinner
ham,I am at the office
ham,Please reply when you are free
ham,The class has been postponed
ham,Your payment has been received
ham,I have finished my work
ham,Can you send me the photo
ham,Good evening
ham,Let's meet at the library
ham,Take care
ham,Have a nice trip
ham,The report is ready
ham,Welcome home
spam,Congratulations you have won 100000 rupees
spam,Claim your free prize now
spam,You are today's lucky winner
spam,Click here to win a new iPhone
spam,Limited time offer claim now
spam,You have won a free vacation
spam,Earn money from home easily
spam,Get a free gift today
spam,Exclusive offer only for you
spam,Your loan is approved instantly
spam,Click this link to claim your reward
spam,Win cash now
spam,Congratulations claim your reward immediately
spam,Free recharge available click now
spam,Get rich quickly
spam,You have been selected for a cash prize
spam,Act now before the offer expires
spam,Receive free coupons today
spam,Special discount only today
spam,Claim your shopping voucher
spam,Win a free laptop
spam,Free movie tickets available
spam,Congratulations your number has won
spam,Click here for exciting rewards
spam,Limited offer buy now
spam,You are selected for a free gift
spam,Verify your account to receive money
spam,You have won a luxury holiday
spam,Claim your cashback today
spam,Free membership available
spam,Earn 5000 rupees every day
spam,Get instant rewards
spam,Your prize is waiting
spam,Free internet recharge
spam,Win exciting gifts today
spam,Claim your bonus now
spam,Lowest price guaranteed
spam,Special festival offer
spam,You are eligible for a reward
spam,Receive free vouchers
spam,Click to unlock your reward
spam,Congratulations you won a smartphone
spam,Free shopping coupon available
spam,Claim your reward before midnight
spam,Win a brand new car
spam,Limited stock order now
spam,Get free access today
spam,Exclusive bonus waiting for you
spam,Your account has won a reward
spam,Click now to receive your prize
